Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,0.051449,0.144878,0.051353,0.101285,0.101285,2523045806
2021-09-17,0.099868,0.124289,0.085863,0.117481,0.117481,585950351
2021-09-18,0.116555,0.136870,0.102866,0.115872,0.115872,526336586
2021-09-19,0.115912,0.128698,0.108075,0.109952,0.109952,243110389
2021-09-20,0.110093,0.111189,0.086925,0.089334,0.089334,222531577
2021-09-21,0.089931,0.113196,0.084326,0.099248,0.099248,629770914
2021-09-22,0.099078,0.110937,0.098105,0.107637,0.107637,391071450
2021-09-23,0.107833,0.122112,0.106251,0.112912,0.112912,376988340
2021-09-24,0.112669,0.114965,0.092189,0.097241,0.097241,309770990
2021-09-25,0.097279,0.101451,0.090665,0.092640,0.092640,164296497
2021-09-26,0.092552,0.097403,0.081312,0.087907,0.087907,207335036
2021-09-27,0.088043,0.095557,0.084314,0.084325,0.084325,163466350
2021-09-28,0.084314,0.087576,0.076037,0.076439,0.076439,113400991
2021-09-29,0.076750,0.089411,0.076456,0.083714,0.083714,165816986
2021-09-30,0.083702,0.100996,0.082090,0.100016,0.100016,311488154
2021-10-01,0.100014,0.106574,0.094902,0.101100,0.101100,326991893
2021-10-02,0.100300,0.109247,0.100215,0.101722,0.101722,247433241
2021-10-03,0.101421,0.123004,0.097143,0.114300,0.114300,474300778
2021-10-04,0.113963,0.119442,0.106708,0.113613,0.113613,322696218
2021-10-05,0.112412,0.113743,0.101925,0.104771,0.104771,170965027
2021-10-06,0.104817,0.106517,0.094088,0.099361,0.099361,181932356
2021-10-07,0.099093,0.102543,0.094262,0.096334,0.096334,135356701
2021-10-08,0.096366,0.104984,0.096319,0.099554,0.099554,139976547
2021-10-09,0.099492,0.106980,0.097747,0.099095,0.099095,124301036
2021-10-10,0.099272,0.099814,0.090148,0.090586,0.090586,95910349
2021-10-11,0.090673,0.094357,0.085690,0.088876,0.088876,102761381
2021-10-12,0.088913,0.088913,0.079675,0.086032,0.086032,148450791
2021-10-13,0.085932,0.090932,0.081618,0.084661,0.084661,138690012
2021-10-14,0.084658,0.097612,0.084658,0.091444,0.091444,207295773
2021-10-15,0.091652,0.091652,0.083258,0.088825,0.088825,163626275
2021-10-16,0.088776,0.092336,0.085658,0.086526,0.086526,93928150
2021-10-17,0.086445,0.089317,0.081359,0.083784,0.083784,78860972
2021-10-18,0.083763,0.085230,0.081622,0.083433,0.083433,55957818
2021-10-19,0.083391,0.084888,0.082529,0.083247,0.083247,45333096
2021-10-20,0.083248,0.087893,0.082514,0.086596,0.086596,92276457
2021-10-21,0.086607,0.088966,0.082014,0.083381,0.083381,80091610
2021-10-22,0.083332,0.085721,0.082538,0.083758,0.083758,55642298
2021-10-23,0.083740,0.085530,0.083083,0.084373,0.084373,44570687
2021-10-24,0.084370,0.086228,0.079835,0.081644,0.081644,57107669
2021-10-25,0.081639,0.085830,0.081207,0.084664,0.084664,52848916
2021-10-26,0.084588,0.091406,0.083342,0.090071,0.090071,103447489
2021-10-27,0.090319,0.097271,0.070159,0.074905,0.074905,222724524
2021-10-28,0.074882,0.082817,0.074322,0.081133,0.081133,132012963
2021-10-29,0.080969,0.098640,0.080572,0.092103,0.092103,256648446
2021-10-30,0.092384,0.114617,0.091509,0.103868,0.103868,416493489
2021-10-31,0.104891,0.117794,0.090463,0.095442,0.095442,210916270
2021-11-01,0.095457,0.096327,0.088142,0.091045,0.091045,121700670
2021-11-02,0.091057,0.101472,0.089327,0.097958,0.097958,211269568
2021-11-03,0.097929,0.103093,0.091035,0.095229,0.095229,136393327
2021-11-04,0.095245,0.097472,0.090200,0.092056,0.092056,88540275
2021-11-05,0.091990,0.095157,0.090673,0.091530,0.091530,73193870
2021-11-06,0.091453,0.093344,0.085174,0.090558,0.090558,70564022
2021-11-07,0.090671,0.092758,0.089823,0.090657,0.090657,48494090
2021-11-08,0.090630,0.092933,0.089084,0.092796,0.092796,56960876
2021-11-09,0.092968,0.093745,0.087679,0.088981,0.088981,62617534
2021-11-10,0.089225,0.091966,0.074517,0.082066,0.082066,100115989
2021-11-11,0.082119,0.088396,0.081215,0.086248,0.086248,66363490
2021-11-12,0.086082,0.090784,0.081389,0.084094,0.084094,76862958
2021-11-13,0.084193,0.103694,0.084097,0.094084,0.094084,231253438
2021-11-14,0.094157,0.097397,0.089967,0.093366,0.093366,113419927
2021-11-15,0.093387,0.126784,0.093281,0.126784,0.126784,511112317
2021-11-16,0.125702,0.142550,0.112677,0.115052,0.115052,1056312562
2021-11-17,0.114998,0.277841,0.113024,0.230512,0.230512,3561997374
2021-11-18,0.229850,0.285226,0.204319,0.232243,0.232243,2583711566
2021-11-19,0.229801,0.257875,0.218385,0.234462,0.234462,1376405182
2021-11-20,0.234407,0.390644,0.231068,0.352904,0.352904,3436270955
2021-11-21,0.353993,0.485216,0.347337,0.370396,0.370396,3063216364
2021-11-22,0.370933,0.436152,0.359436,0.391137,0.391137,1825406303
2021-11-23,0.392388,0.407841,0.360608,0.376941,0.376941,1010686560
2021-11-24,0.377142,0.590034,0.375219,0.428689,0.428689,1321950226
2021-11-25,0.582211,0.776461,0.525652,0.673317,0.673317,4535487735
2021-11-26,0.743249,0.836685,0.623661,0.708809,0.708809,4704688932
2021-11-27,0.711130,0.723009,0.632057,0.664381,0.664381,2061314129
2021-11-28,0.662665,0.718945,0.572719,0.712089,0.712089,2427013049
2021-11-29,0.711610,0.748446,0.645927,0.651492,0.651492,1542492764
2021-11-30,0.650887,0.669129,0.614418,0.620749,0.620749,1085997511
2021-12-01,0.620276,0.661928,0.616257,0.645568,0.645568,1090826748
2021-12-02,0.646460,0.677739,0.575393,0.593750,0.593750,937618362
2021-12-03,0.593654,0.597369,0.480406,0.506396,0.506396,949152999
2021-12-04,0.507428,0.579272,0.373022,0.557686,0.557686,2223966228
2021-12-05,0.557409,0.582957,0.457434,0.487629,0.487629,1411764533
2021-12-06,0.487144,0.532588,0.427129,0.510365,0.510365,1196617259
2021-12-07,0.510560,0.515817,0.466826,0.478456,0.478456,836963868
2021-12-08,0.477747,0.505431,0.446017,0.502626,0.502626,611027451
2021-12-09,0.501606,0.556146,0.484694,0.495217,0.495217,1483104358
2021-12-10,0.496060,0.514624,0.470295,0.481247,0.481247,775672965
2021-12-11,0.481601,0.568718,0.463222,0.562576,0.562576,1330301230
2021-12-12,0.568006,0.625173,0.564513,0.591258,0.591258,1607574529
2021-12-13,0.592689,0.596937,0.493645,0.506048,0.506048,1038282645
2021-12-14,0.505431,0.512250,0.470842,0.501800,0.501800,832342171
2021-12-15,0.504334,0.509865,0.459936,0.500755,0.500755,812513637
2021-12-16,0.500925,0.517787,0.465394,0.467623,0.467623,534757939
